Data;Descrição;Valor;;Banco;;Tipo de Despesa;;Mês;Ano;Dia;Grupo de Dias;Gasto Excessivo
03/02/2023;Uber *Uber *Trip;R$ 11,96;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;sexta-feira;Final de Semana;Dentro da Média
04/02/2023;Ifood *Ifd*Noah Salg;R$ 25,39;ALIMENTACAO;Nubank;Crédito;Variável;Willian;fevereiro;2023;sábado;Final de Semana;Dentro da Média
04/02/2023;Uber *Uber *Trip;R$ 5,97;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;sábado;Final de Semana;Dentro da Média
04/02/2023;Uber *Uber *Trip;R$ 16,98;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;sábado;Final de Semana;Dentro da Média
05/02/2023;Amazonprimebr;R$ 14,90;ASSINATURAS;Nubank;Crédito;Fixa;Willian;fevereiro;2023;domingo;Final de Semana;Dentro da Média
05/02/2023;Apple.Com/Bill;R$ 3,50;ASSINATURAS;Nubank;Crédito;Fixa;Willian;fevereiro;2023;domingo;Final de Semana;Dentro da Média
05/02/2023;tim;R$ 53,10;TELEFONE;Bradesco;A vista;Fixa;Willian;fevereiro;2023;domingo;Final de Semana;Acima da Média
06/02/2023;Uber *Uber *Trip;R$ 19,93;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;segunda-feira;Dias Úteis;Dentro da Média
07/02/2023;internet;R$ 100,00;INTERNET;Bradesco;A vista;Fixa;Mãe;fevereiro;2023;terça-feira;Dias Úteis;Acima da Média
08/02/2023;Rovick Festas;R$ 49,71;DECORAÇÃO;Nubank;Crédito;Fixa;Willian;fevereiro;2023;quarta-feira;Dias Úteis;Acima da Média
08/02/2023;Ebw *Shein;R$ 36,74;MODA;Nubank;Crédito;Fixa;Willian;fevereiro;2023;quarta-feira;Dias Úteis;Acima da Média
09/02/2023;celular 10/10;R$ 163,45;COMPRAS;Bradesco;A vista;Fixa;Willian;fevereiro;2023;quinta-feira;Dias Úteis;Acima da Média
09/02/2023;Uber *Uber *Trip;R$ 12,94;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;quinta-feira;Dias Úteis;Dentro da Média
10/02/2023;spotify;R$ 5,80;ASSINATURAS;Bradesco;A vista;Fixa;Willian;fevereiro;2023;sexta-feira;Final de Semana;Dentro da Média
11/02/2023;emprestimo bnb 09/10;R$ 257,91;EMPRESTIMO;Bradesco;A vista;Fixa;Willian;fevereiro;2023;sábado;Final de Semana;Acima da Média
12/02/2023;Adriana;R$ 10,00;ALIMENTACAO;Bradesco;A vista;Variável;Willian;fevereiro;2023;domingo;Final de Semana;Dentro da Média
13/02/2023;Smith 01/12;R$ 29,90;EDUCAÇÃO;Bradesco;A vista;Fixa;Willian;fevereiro;2023;segunda-feira;Dias Úteis;Acima da Média
14/02/2023;Luz/mainha;R$ 100,00;LUZ;Bradesco;A vista;Fixa;Mãe;fevereiro;2023;terça-feira;Dias Úteis;Acima da Média
15/02/2023;panela 2/3;R$ 25,00;COMPRAS;Bradesco;A vista;Fixa;Mãe;fevereiro;2023;quarta-feira;Dias Úteis;Dentro da Média
16/02/2023;Ppro *Adobe;R$ 124,00;ASSINATURAS;Nubank;Crédito;Fixa;Mallu;fevereiro;2023;quinta-feira;Dias Úteis;Acima da Média
16/02/2023;Amazon.Com.Br;R$ 89,90;COMPRAS;Nubank;Crédito;Variável;Willian;fevereiro;2023;quinta-feira;Dias Úteis;Acima da Média
16/02/2023;fogao 2/8;R$ 100,00;COMPRAS;Bradesco;A vista;Fixa;Mãe;fevereiro;2023;quinta-feira;Dias Úteis;Acima da Média
16/02/2023;ENERGISA PARAIBA;R$ 130,42;LUZ;Nubank;Crédito;Fixa;Mãe;fevereiro;2023;quinta-feira;Dias Úteis;Acima da Média
16/02/2023;Uber *Uber;R$ 12,90;TRANSPORTE;Nubank;Crédito;Variável;Willian;fevereiro;2023;quinta-feira;Dias Úteis;Dentro da Média
